ramp_sts	 motor_pos	 pos_inc	 motor_dir	 run_flg	 step_delay_us	 step_delay_us_32	 step_no	 step_down	 move	 midpt	 denom	 pos_new	 OCR0	 step_delay_ms
1	 0	 1	 0	 1	 5000	 1280000	 0	 0	 40	 19	 1	 40	 0	 0
1	 1	 1	 0	 1	 3000	 768000	 1	 0	 40	 19	 5	 40	 23	 0
1	 2	 1	 0	 1	 2333	 597334	 2	 0	 40	 19	 9	 40	 18	 0
1	 3	 1	 0	 1	 1974	 505437	 3	 0	 40	 19	 13	 40	 15	 0
1	 4	 1	 0	 1	 1742	 445974	 4	 0	 40	 19	 17	 40	 13	 0
2	 5	 1	 0	 1	 1667	 403501	 5	 36	 40	 19	 21	 40	 13	 0
2	 6	 1	 0	 1	 1667	 403501	 6	 36	 40	 19	 21	 40	 13	 0
2	 7	 1	 0	 1	 1667	 403501	 7	 36	 40	 19	 21	 40	 13	 0
2	 8	 1	 0	 1	 1667	 403501	 8	 36	 40	 19	 21	 40	 13	 0
2	 9	 1	 0	 1	 1667	 403501	 9	 36	 40	 19	 21	 40	 13	 0
2	 10	 1	 0	 1	 1667	 403501	 10	 36	 40	 19	 21	 40	 13	 0
2	 11	 1	 0	 1	 1667	 403501	 11	 36	 40	 19	 21	 40	 13	 0
2	 12	 1	 0	 1	 1667	 403501	 12	 36	 40	 19	 21	 40	 13	 0
2	 13	 1	 0	 1	 1667	 403501	 13	 36	 40	 19	 21	 40	 13	 0
2	 14	 1	 0	 1	 1667	 403501	 14	 36	 40	 19	 21	 40	 13	 0
2	 15	 1	 0	 1	 1667	 403501	 15	 36	 40	 19	 21	 40	 13	 0
2	 16	 1	 0	 1	 1667	 403501	 16	 36	 40	 19	 21	 40	 13	 0
2	 17	 1	 0	 1	 1667	 403501	 17	 36	 40	 19	 21	 40	 13	 0
2	 18	 1	 0	 1	 1667	 403501	 18	 36	 40	 19	 21	 40	 13	 0
2	 19	 1	 0	 1	 1667	 403501	 19	 36	 40	 19	 21	 40	 13	 0
2	 20	 1	 0	 1	 1667	 403501	 20	 36	 40	 19	 21	 40	 13	 0
2	 21	 1	 0	 1	 1667	 403501	 21	 36	 40	 19	 21	 40	 13	 0
2	 22	 1	 0	 1	 1667	 403501	 22	 36	 40	 19	 21	 40	 13	 0
2	 23	 1	 0	 1	 1667	 403501	 23	 36	 40	 19	 21	 40	 13	 0
2	 24	 1	 0	 1	 1667	 403501	 24	 36	 40	 19	 21	 40	 13	 0
2	 25	 1	 0	 1	 1667	 403501	 25	 36	 40	 19	 21	 40	 13	 0
2	 26	 1	 0	 1	 1667	 403501	 26	 36	 40	 19	 21	 40	 13	 0
2	 27	 1	 0	 1	 1667	 403501	 27	 36	 40	 19	 21	 40	 13	 0
2	 28	 1	 0	 1	 1667	 403501	 28	 36	 40	 19	 21	 40	 13	 0
2	 29	 1	 0	 1	 1667	 403501	 29	 36	 40	 19	 21	 40	 13	 0
2	 30	 1	 0	 1	 1667	 403501	 30	 36	 40	 19	 21	 40	 13	 0
2	 31	 1	 0	 1	 1667	 403501	 31	 36	 40	 19	 21	 40	 13	 0
2	 32	 1	 0	 1	 1667	 403501	 32	 36	 40	 19	 21	 40	 13	 0
2	 33	 1	 0	 1	 1667	 403501	 33	 36	 40	 19	 21	 40	 13	 0
2	 34	 1	 0	 1	 1667	 403501	 34	 36	 40	 19	 21	 40	 13	 0
2	 35	 1	 0	 1	 1667	 403501	 35	 36	 40	 19	 21	 40	 13	 0
2	 36	 1	 0	 1	 1667	 403501	 36	 36	 40	 19	 21	 40	 13	 0
3	 37	 1	 0	 1	 1667	 403501	 37	 36	 40	 19	 -11	 40	 13	 0
3	 38	 1	 0	 1	 2027	 518787	 38	 36	 40	 19	 -7	 40	 15	 0
3	 39	 1	 0	 1	 3378	 864645	 39	 36	 40	 19	 -3	 40	 26	 0
4	 40	 1	 0	 1	 3378	 864645	 40	 36	 40	 19	 -3	 40	 26	 0
0	 40	 1	 0	 0	 3378	 864645	 40	 36	 40	 19	 -3	 40	 26	 0
